number,input_file,output_file,frames,width,height,source_has_transparency,status,note
18,output-gif-all\ancient-greymon.gif,output-webm-all\ancient-greymon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
19,output-gif-all\ancient-irismon.gif,output-webm-all\ancient-irismon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
20,output-gif-all\ancient-megatheriumon.gif,output-webm-all\ancient-megatheriumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
21,output-gif-all\ancient-mermaimon.gif,output-webm-all\ancient-mermaimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
22,output-gif-all\ancient-sphinxmon.gif,output-webm-all\ancient-sphinxmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
23,output-gif-all\ancient-troiamon.gif,output-webm-all\ancient-troiamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
24,output-gif-all\ancient-volcamon.gif,output-webm-all\ancient-volcamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
25,output-gif-all\ancient-wisemon.gif,output-webm-all\ancient-wisemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
26,output-gif-all\andiramon-deva.gif,output-webm-all\andiramon-deva.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
27,output-gif-all\andiramon.gif,output-webm-all\andiramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
28,output-gif-all\andromon.gif,output-webm-all\andromon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
29,output-gif-all\angemon.gif,output-webm-all\angemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
30,output-gif-all\angewomon.gif,output-webm-all\angewomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
31,output-gif-all\angoramon.gif,output-webm-all\angoramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
32,output-gif-all\ankylomon.gif,output-webm-all\ankylomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
33,output-gif-all\anomalocarimon-x.gif,output-webm-all\anomalocarimon-x.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
34,output-gif-all\anomalocarimon.gif,output-webm-all\anomalocarimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
35,output-gif-all\anubimon.gif,output-webm-all\anubimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
36,output-gif-all\apocalymon.gif,output-webm-all\apocalymon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
37,output-gif-all\apollomon.gif,output-webm-all\apollomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
38,output-gif-all\aquilamon.gif,output-webm-all\aquilamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
39,output-gif-all\arachnemon.gif,output-webm-all\arachnemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
40,output-gif-all\arbormon.gif,output-webm-all\arbormon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
41,output-gif-all\arcturusmon.gif,output-webm-all\arcturusmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
42,output-gif-all\ariemon.gif,output-webm-all\ariemon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
43,output-gif-all\arkhai-angemon.gif,output-webm-all\arkhai-angemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
44,output-gif-all\armadimon.gif,output-webm-all\armadimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
45,output-gif-all\armagemon.gif,output-webm-all\armagemon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
46,output-gif-all\armamon-burst-mode.gif,output-webm-all\armamon-burst-mode.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
47,output-gif-all\armamon.gif,output-webm-all\armamon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
48,output-gif-all\arresterdramon-superior-mode-brave-snatcher.gif,output-webm-all\arresterdramon-superior-mode-brave-snatcher.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
49,output-gif-all\arresterdramon-superior-mode.gif,output-webm-all\arresterdramon-superior-mode.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
50,output-gif-all\arresterdramon.gif,output-webm-all\arresterdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
51,output-gif-all\astamon.gif,output-webm-all\astamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
52,output-gif-all\asuramon.gif,output-webm-all\asuramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
53,output-gif-all\atlur-ballistamon.gif,output-webm-all\atlur-ballistamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
54,output-gif-all\atlur-kabuterimon-red.gif,output-webm-all\atlur-kabuterimon-red.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
55,output-gif-all\atlur-kabuterimon.gif,output-webm-all\atlur-kabuterimon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
56,output-gif-all\baalmon.gif,output-webm-all\baalmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
57,output-gif-all\babydmon.gif,output-webm-all\babydmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
58,output-gif-all\bakemon.gif,output-webm-all\bakemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
59,output-gif-all\bakumon.gif,output-webm-all\bakumon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
60,output-gif-all\ballistamon.gif,output-webm-all\ballistamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
61,output-gif-all\bancho-leomon.gif,output-webm-all\bancho-leomon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
62,output-gif-all\bancho-lilimon.gif,output-webm-all\bancho-lilimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
63,output-gif-all\bancho-mamemon.gif,output-webm-all\bancho-mamemon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
64,output-gif-all\bancho-stingmon.gif,output-webm-all\bancho-stingmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
65,output-gif-all\bao-hackmon.gif,output-webm-all\bao-hackmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
66,output-gif-all\bastemon.gif,output-webm-all\bastemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
67,output-gif-all\bearmon.gif,output-webm-all\bearmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
68,output-gif-all\beelzebumon-2010.gif,output-webm-all\beelzebumon-2010.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
69,output-gif-all\beelzebumon-blast-mode.gif,output-webm-all\beelzebumon-blast-mode.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
70,output-gif-all\beelzebumon.gif,output-webm-all\beelzebumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
71,output-gif-all\belial-vamdemon.gif,output-webm-all\belial-vamdemon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
72,output-gif-all\belphemon-rage-mode.gif,output-webm-all\belphemon-rage-mode.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
73,output-gif-all\bemmon.gif,output-webm-all\bemmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
74,output-gif-all\beowolfmon.gif,output-webm-all\beowolfmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
75,output-gif-all\betamon.gif,output-webm-all\betamon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
76,output-gif-all\betel-gammamon.gif,output-webm-all\betel-gammamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
77,output-gif-all\bibimon.gif,output-webm-all\bibimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
78,output-gif-all\big-mamemon.gif,output-webm-all\big-mamemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
79,output-gif-all\big-ukkomon.gif,output-webm-all\big-ukkomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
80,output-gif-all\birdramon.gif,output-webm-all\birdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
81,output-gif-all\black-king-numemon.gif,output-webm-all\black-king-numemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
82,output-gif-all\black-tailmon-uver.gif,output-webm-all\black-tailmon-uver.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
83,output-gif-all\black-war-greymon.gif,output-webm-all\black-war-greymon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
84,output-gif-all\blade-kuwagamon.gif,output-webm-all\blade-kuwagamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
85,output-gif-all\blastmon.gif,output-webm-all\blastmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
86,output-gif-all\blitz-greymon.gif,output-webm-all\blitz-greymon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
87,output-gif-all\blitzmon.gif,output-webm-all\blitzmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
88,output-gif-all\blizzarmon.gif,output-webm-all\blizzarmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
89,output-gif-all\bloom-lordmon.gif,output-webm-all\bloom-lordmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
90,output-gif-all\blossomon.gif,output-webm-all\blossomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
91,output-gif-all\blucomon.gif,output-webm-all\blucomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
92,output-gif-all\bokomon.gif,output-webm-all\bokomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
93,output-gif-all\bolgmon.gif,output-webm-all\bolgmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
94,output-gif-all\boltmon.gif,output-webm-all\boltmon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
95,output-gif-all\bombermon.gif,output-webm-all\bombermon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
96,output-gif-all\bommon.gif,output-webm-all\bommon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
97,output-gif-all\bosamon.gif,output-webm-all\bosamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
98,output-gif-all\botamon-digitama.gif,output-webm-all\botamon-digitama.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
99,output-gif-all\botamon.gif,output-webm-all\botamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
100,output-gif-all\boutmon.gif,output-webm-all\boutmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
101,output-gif-all\bowmon.gif,output-webm-all\bowmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
102,output-gif-all\brachiomon.gif,output-webm-all\brachiomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
103,output-gif-all\breakdramon.gif,output-webm-all\breakdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
104,output-gif-all\brigadramon.gif,output-webm-all\brigadramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
105,output-gif-all\bryweludramon.gif,output-webm-all\bryweludramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
106,output-gif-all\bubbmon.gif,output-webm-all\bubbmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
107,output-gif-all\bulkmon.gif,output-webm-all\bulkmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
108,output-gif-all\calamaramon.gif,output-webm-all\calamaramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
109,output-gif-all\callismon.gif,output-webm-all\callismon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
110,output-gif-all\candmon.gif,output-webm-all\candmon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
111,output-gif-all\cannonbeemon.gif,output-webm-all\cannonbeemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
112,output-gif-all\cannondramon.gif,output-webm-all\cannondramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
113,output-gif-all\canoweissmon.gif,output-webm-all\canoweissmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
114,output-gif-all\caprimon.gif,output-webm-all\caprimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
115,output-gif-all\care-mistakes.gif,output-webm-all\care-mistakes.webm,2,1088,576,False,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
116,output-gif-all\cargodramon.gif,output-webm-all\cargodramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
117,output-gif-all\caturamon.gif,output-webm-all\caturamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
118,output-gif-all\centaurmon.gif,output-webm-all\centaurmon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
119,output-gif-all\cerberumon.gif,output-webm-all\cerberumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
120,output-gif-all\cernumon.gif,output-webm-all\cernumon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
121,output-gif-all\chackmon.gif,output-webm-all\chackmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
122,output-gif-all\chamblemon.gif,output-webm-all\chamblemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
123,output-gif-all\chaos-dukemon.gif,output-webm-all\chaos-dukemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
124,output-gif-all\chaosdramon.gif,output-webm-all\chaosdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
125,output-gif-all\chaosmon.gif,output-webm-all\chaosmon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
126,output-gif-all\cherubimon-vice.gif,output-webm-all\cherubimon-vice.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
127,output-gif-all\cherubimon-virtue.gif,output-webm-all\cherubimon-virtue.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
128,output-gif-all\chibickmon.gif,output-webm-all\chibickmon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
129,output-gif-all\chibimon.gif,output-webm-all\chibimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
130,output-gif-all\chicomon.gif,output-webm-all\chicomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
131,output-gif-all\chimairamon.gif,output-webm-all\chimairamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
132,output-gif-all\cho-hakkaimon.gif,output-webm-all\cho-hakkaimon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
133,output-gif-all\chocomon.gif,output-webm-all\chocomon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
134,output-gif-all\choromon.gif,output-webm-all\choromon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
135,output-gif-all\climbmon.gif,output-webm-all\climbmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
136,output-gif-all\clockmon.gif,output-webm-all\clockmon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
137,output-gif-all\cockatrimon.gif,output-webm-all\cockatrimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
138,output-gif-all\coelamon.gif,output-webm-all\coelamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
139,output-gif-all\commandramon.gif,output-webm-all\commandramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
140,output-gif-all\coredramon-blue.gif,output-webm-all\coredramon-blue.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
141,output-gif-all\coredramon-green.gif,output-webm-all\coredramon-green.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
142,output-gif-all\coronamon.gif,output-webm-all\coronamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
143,output-gif-all\cotsucomon.gif,output-webm-all\cotsucomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
144,output-gif-all\cres-garurumon.gif,output-webm-all\cres-garurumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
145,output-gif-all\crescemon.gif,output-webm-all\crescemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
146,output-gif-all\crys-paledramon.gif,output-webm-all\crys-paledramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
147,output-gif-all\cthyllamon.gif,output-webm-all\cthyllamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
148,output-gif-all\curimon.gif,output-webm-all\curimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
149,output-gif-all\cyberdramon-2010.gif,output-webm-all\cyberdramon-2010.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
150,output-gif-all\cyberdramon.gif,output-webm-all\cyberdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
151,output-gif-all\cyclomon.gif,output-webm-all\cyclomon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
152,output-gif-all\dagomon.gif,output-webm-all\dagomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
153,output-gif-all\daipenmon.gif,output-webm-all\daipenmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
154,output-gif-all\daisuke-motomiya.gif,output-webm-all\daisuke-motomiya.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
155,output-gif-all\damemon.gif,output-webm-all\damemon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
156,output-gif-all\dark-super-starmon.gif,output-webm-all\dark-super-starmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
157,output-gif-all\dark-tyranomon.gif,output-webm-all\dark-tyranomon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
158,output-gif-all\darkdramon.gif,output-webm-all\darkdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
159,output-gif-all\darumamon.gif,output-webm-all\darumamon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
160,output-gif-all\deadly-axemon.gif,output-webm-all\deadly-axemon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
161,output-gif-all\death-meramon.gif,output-webm-all\death-meramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
162,output-gif-all\death-x-dorugamon.gif,output-webm-all\death-x-dorugamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
163,output-gif-all\death-x-dorugoramon.gif,output-webm-all\death-x-dorugoramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
164,output-gif-all\death-x-doruguremon.gif,output-webm-all\death-x-doruguremon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
165,output-gif-all\deathmon-black.gif,output-webm-all\deathmon-black.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
166,output-gif-all\deathmon.gif,output-webm-all\deathmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
167,output-gif-all\decker-greymon.gif,output-webm-all\decker-greymon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
168,output-gif-all\deckerdramon.gif,output-webm-all\deckerdramon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
